prompt,expected,result,time
"I'm 31 and earn 39,000 per month. No partner. Pension is at 420,000 and I contribute 2,800/month. I rent and invest 1,000 monthly into ETFs. Savings: 110,000.",Calculation Agent,,
"I'm 55 and make 78,000/month. My husband is 53 and earns 69,000. Our pension funds are at 3.5M and 2.8M, with monthly contributions of 5,000 and 4,500 respectively. We own a house worth 6.2M, mortgage remaining: 1.8M, 12 years left. We invest in mutual funds, about 1.2M total.",Calculation Agent,,
"I'm 36 and my spouse is 34. We make 56,000 and 49,000 respectively. We both contribute to pensions (3,000 each), with current values at 1.1M and 900k. We rent and have no investments yet.",Calculation Agent,,
"I'm 43, monthly income is 62,000. No mortgage, I rent. My pension has 1.7 million and I contribute 4,500 monthly. I have stocks worth 250,000 and invest 1,500/month. Also keep 200,000 in savings.",Calculation Agent,,
"I'm 50 and my wife is 48. I earn 88,000/month and she makes 60,000. We just finished paying off our 5M house. Pension funds: 3.2M and 2.1M. Contributions: 6,000 and 4,800/month. Investments: 1.5M in total, no new additions.",Calculation Agent,,
"I'm 34 and earn 46,000/month. I live alone, no property. Pension is at 750,000 with a 3,500 monthly deposit. I invest 1,500 in crypto monthly, currently have 300,000 there.",Calculation Agent,,
"I'm 41 and my partner is 42. Combined income: 120,000/month. Pension status: mine is 2M, hers is 1.6M. Contributions: 5,500 and 4,700. We have a home valued at 4.7M, mortgage 2.9M, 26 years remaining. We invest 3,000/month in stocks.",Calculation Agent,,
"I'm 57, earning 85,000 monthly. Spouse is 58, earns 79,000. Pensions are well funded: 4.3M and 3.9M. Contributions are paused. House fully paid off (worth 6M). We have 2.2M in mutual funds.",Calculation Agent,,
"I'm 38 years old and I make 60,000 per month. I have a house worth 2.9M with 1.7M left on the mortgage (21 years). I contribute 4,000/month to a pension with a current value of 1.6M. Also investing in stocks: 300,000 total, adding 1,200/month.",Calculation Agent,,
"I'm 52. Monthly income: 73,000. No spouse. I rent. Pension has 2.3 million with monthly contributions of 5,000. I also invest in bonds and ETFs — 950,000 total, no new contributions.",Calculation Agent,,
