prompt,expected,result,time
"I'm 31 and earn 39,000 per month. No partner. Pension is at 420,000 and I contribute 2,800/month. I rent and invest 1,000 monthly into ETFs. Savings: 110,000.",Calculation Agent,Calculation Agent,5.221764326095581
"I'm 55 and make 78,000/month. My husband is 53 and earns 69,000. Our pension funds are at 3.5M and 2.8M, with monthly contributions of 5,000 and 4,500 respectively. We own a house worth 6.2M, mortgage remaining: 1.8M, 12 years left. We invest in mutual funds, about 1.2M total.",Calculation Agent,Calculation Agent,9.19433307647705
"I'm 36 and my spouse is 34. We make 56,000 and 49,000 respectively. We both contribute to pensions (3,000 each), with current values at 1.1M and 900k. We rent and have no investments yet.",Calculation Agent,Calculation Agent,10.751237869262695
"I'm 43, monthly income is 62,000. No mortgage, I rent. My pension has 1.7 million and I contribute 4,500 monthly. I have stocks worth 250,000 and invest 1,500/month. Also keep 200,000 in savings.",Calculation Agent,Calculation Agent,6.043992280960083
"I'm 50 and my wife is 48. I earn 88,000/month and she makes 60,000. We just finished paying off our 5M house. Pension funds: 3.2M and 2.1M. Contributions: 6,000 and 4,800/month. Investments: 1.5M in total, no new additions.",Calculation Agent,Calculation Agent,9.726109504699707
"I'm 34 and earn 46,000/month. I live alone, no property. Pension is at 750,000 with a 3,500 monthly deposit. I invest 1,500 in crypto monthly, currently have 300,000 there.",Calculation Agent,Calculation Agent,7.817807674407959
"I'm 41 and my partner is 42. Combined income: 120,000/month. Pension status: mine is 2M, hers is 1.6M. Contributions: 5,500 and 4,700. We have a home valued at 4.7M, mortgage 2.9M, 26 years remaining. We invest 3,000/month in stocks.",Calculation Agent,Calculation Agent,6.928058862686157
"I'm 57, earning 85,000 monthly. Spouse is 58, earns 79,000. Pensions are well funded: 4.3M and 3.9M. Contributions are paused. House fully paid off (worth 6M). We have 2.2M in mutual funds.",Calculation Agent,Calculation Agent,7.986863851547241
"I'm 38 years old and I make 60,000 per month. I have a house worth 2.9M with 1.7M left on the mortgage (21 years). I contribute 4,000/month to a pension with a current value of 1.6M. Also investing in stocks: 300,000 total, adding 1,200/month.",Calculation Agent,Calculation Agent,4.70111346244812
"I'm 52. Monthly income: 73,000. No spouse. I rent. Pension has 2.3 million with monthly contributions of 5,000. I also invest in bonds and ETFs — 950,000 total, no new contributions.",Calculation Agent,Calculation Agent,6.460334062576294
"I'm 29, earning 42,000/month. I don’t own property. I’m contributing 2,000/month to my pension, which currently has 390,000. I also put 1,000 in stocks monthly and have 75,000 saved there.",Calculation Agent,Calculation Agent,6.643723011016846
"I'm 65 and my spouse is 62. I was earning 100,000/month before retirement. Pension balances: 6M and 4.2M. No active contributions. House is fully paid. We have 3.5M in conservative investments.",Calculation Agent,Calculation Agent,5.951308250427246
"I'm 48, make 69,000/month. My partner earns 61,000. We have a house worth 4.1M with 2.6M remaining (20 years). Pension funds are at 2.7M and 2.3M, with contributions of 5,000 each. We also invest 2,000 in index funds.",Calculation Agent,Calculation Agent,8.653493642807007
"I'm 37 and my husband is 38. I earn 55,000/month and he earns 58,000. We live in an apartment worth 3.3M, with 2.5M left on the mortgage (28 years). Pensions: mine has 1.4M (4,000/month), his 1.6M (4,200/month). We invest jointly: 450,000 in total.",Calculation Agent,Calculation Agent,9.880524635314941
"I'm 60 and single. Monthly salary: 91,000. Pension sits at 5.2 million and I contribute 6,000 monthly. I live in a townhouse worth 3.9 million, no remaining mortgage. I invest 2,000 monthly in a diversified portfolio, total value: 1.1 million.",Calculation Agent,Calculation Agent,7.566014289855957
"I'm 33, earning 52,000/month. I rent. Pension has 840,000 with 3,200 monthly contributions. I also invest in REITs and ETFs, around 400,000 total, and add 1,500/month.",Calculation Agent,Calculation Agent,9.963802814483643
"I'm 45. My income is 66,000/month. My wife is 42 and makes 64,000. We own a flat worth 4.2M with 2.7M left (27 years). Pensions are at 2.2M and 2.0M. We contribute 5,000 each. Stocks: 900,000 total.",Calculation Agent,Calculation Agent,8.685091018676758
"I'm 49 and my spouse is 46. I earn 61,000 and she earns 59,000. We rent. Pension balances: 2.1M and 1.9M. Contributions: 5,500 and 4,500/month. No other investments for now.",Calculation Agent,Calculation Agent,8.498524188995361
"I'm 31. I earn 47,000 per month and contribute 2,000/month to my pension (currently 600,000). No home yet — I live with roommates. I’ve got 150,000 in stocks and add 1,000/month.",Calculation Agent,Calculation Agent,10.85681962966919
"I'm 40, single, earning 70,000/month. Pension has 1.8M with 5,000/month contribution. I rent. I invest in a mix of index funds and real estate trusts — total 650,000, monthly addition: 2,000.",Calculation Agent,Calculation Agent,8.104797601699829
